set,name,foil,ck,mkm
Commander 2013,Akoum Refuge,FALSE,"0,04","0,02"
Commander 2011,Akroma's Vengeance,FALSE,"0,21","0,63"
Commander 2011,"Akroma, Angel of Fury",FALSE,"0,51","1,08"
Legions,"Akroma, Angel of Wrath",TRUE,"13,98","16,20"
Avacyn Restored,Alchemist's Refuge,TRUE,"2,97","5,35"
Avacyn Restored,Alchemist's Refuge,FALSE,"0,68","0,27"
Fate Reforged,"Alesha, Who Smiles at Death",FALSE,"0,08","0,03"
Commander 2011,Alliance of Arms,FALSE,"1,53","0,44"
Tempest,Aluren,FALSE,"8,47","15,30"
Duel Decks: Elves vs. Goblins,Ambush Commander,FALSE,"0,32","0,27"
Innistrad,Ambush Viper,TRUE,"0,38","0,32"
Worldwake,Amulet of Vigor,FALSE,"3,81","3,26"
Alara Reborn,Anathemancer,TRUE,"0,17","0,40"
Eternal Masters,Ancestral Mask,FALSE,"0,08","0,06"
Mercadian Masques,Ancestral Mask,FALSE,"0,04","0,22"
Mirrodin,Ancient Den,FALSE,"0,68","0,81"
Time Spiral,Ancient Grudge,FALSE,"0,04","0,06"
Innistrad,Ancient Grudge,FALSE,"0,04","0,02"
Conflux,Ancient Ziggurat,TRUE,"1,91","2,52"
Conflux,Ancient Ziggurat,TRUE,"1,91","2,52"
Conflux,Ancient Ziggurat,FALSE,"1,53","2,03"
Commander 2011,Angel of Despair,FALSE,"0,97","1,07"
Innistrad,Angel of Flight Alabaster,FALSE,"0,08","0,08"
Avacyn Restored,Angel of Glory's Rise,FALSE,"0,08","0,18"
Avacyn Restored,Angel of Jubilation,FALSE,"1,27","1,80"
Duel Decks: Elspeth vs. Tezzeret,Angel of Salvation,FALSE,"0,08","0,05"
Return to Ravnica,Angel of Serenity,FALSE,"0,28","0,36"
Modern Masters,Angel's Grace,FALSE,"3,39","3,02"
Commander 2011,Angelic Arbiter,FALSE,"0,21","0,14"
Magic 2011,Angelic Arbiter,FALSE,"0,25","0,09"
Shards of Alara,Angelic Benediction,TRUE,"0,07","0,09"
Innistrad,Angelic Overseer,FALSE,"1,06","1,34"
Judgment,Anger,FALSE,"1,27","0,88"
Theros,Anger of the Gods,FALSE,"1,10","1,26"
Commander 2011,"Animar, Soul of Elements",FALSE,"15,68","2,66"
Eternal Masters,Animate Dead,TRUE,"1,34","1,53"
Fourth Edition,Animate Dead,FALSE,"0,28","0,27"
Kaladesh,Animation Module,FALSE,"0,08","0,02"
Urza's Saga,Annul,FALSE,"0,05","0,02"
Urza's Saga,Annul,FALSE,"0,05","0,02"
Amonkhet,Anointed Procession,TRUE,"6,61","5,85"
Amonkhet,Anointer Priest,TRUE,"0,17","0,02"
Worldwake,"Anowon, the Ruin Sage",FALSE,"0,17","0,68"
Battle for Zendikar,Anticipate,FALSE,"0,05","0,00"
Conflux,Apocalypse Hydra,FALSE,"0,25","0,86"
New Phyrexia,Apostle's Blessing,FALSE,"0,05","0,14"
New Phyrexia,Apostle's Blessing,TRUE,"0,59","0,72"
Theros,Aqueous Form,TRUE,"0,45","0,02"
Theros,Aqueous Form,FALSE,"0,04","0,02"
Lorwyn,Aquitect's Will,FALSE,"0,04","0,02"
Magic 2012,Arachnus Web,TRUE,"0,17","0,09"
Saviors of Kamigawa,"Arashi, the Sky Asunder",FALSE,"0,08","0,13"
Worldwake,Arbor Elf,FALSE,"0,04","0,05"
Alliances,Arcane Denial,FALSE,"0,32","0,14"
Urza's Saga,Arcane Laboratory,FALSE,"0,22","0,23"
Commander 2013,Arcane Sanctum,FALSE,"0,21","0,23"
Modern Masters 2017,Arcane Sanctum,TRUE,"0,38","0,18"
Shards of Alara,Arcane Sanctum,FALSE,"0,04","0,14"
Darksteel,Arcbound Ravager,FALSE,"21,19","22,04"
Darksteel,Arcbound Worker,TRUE,"0,14","0,22"
Magic 2014,Archaeomancer,TRUE,"1,53","2,52"
Visions,Archangel,FALSE,"0,07","0,27"
Commander 2011,Archangel of Strife,FALSE,"0,13","0,41"
Born of the Gods,Archetype of Endurance,FALSE,"0,20","0,02"
Alara Reborn,Architects of Will,FALSE,"0,05","0,05"
Zendikar,Archive Trap,FALSE,"4,49","3,85"
Urza's Legacy,Archivist,FALSE,"0,08","0,14"
Urza's Legacy,Archivist,TRUE,"1,34","1,76"
Zendikar,Archmage Ascension,FALSE,"0,28","0,14"
Eventide,Archon of Justice,FALSE,"0,08","0,18"
Magic 2012,Archon of Justice,FALSE,"0,08","0,14"
Alara Reborn,Ardent Plea,FALSE,"0,17","0,34"
Legends,Arena of the Ancients,FALSE,"8,05","8,01"
Urza's Saga,Argothian Enchantress,FALSE,"2,75","4,73"
Invasion,Armadillo Cloak,FALSE,"0,04","0,02"
Invasion,Armadillo Cloak,TRUE,"1,36","1,80"
Fifth Edition,Armageddon,FALSE,"1,69","2,25"
Conflux,Armillary Sphere,FALSE,"0,05","0,00"
Conflux,Armillary Sphere,TRUE,"0,07","0,14"
Magic 2011,Armored Ascension,TRUE,"0,14","0,09"
Commander 2016,Armory Automaton,FALSE,"0,17","0,40"
Mirrodin,Arrest,TRUE,"0,07","0,05"
Torment,Arrogant Wurm,TRUE,"0,76","1,01"
Commander 2016,Artifact Mutation,FALSE,"0,32","0,22"
Magic Origins,Artificer's Epiphany,TRUE,"0,05","0,05"
Archenemy,Artisan of Kozilek,FALSE,"0,38","0,36"
Modern Masters 2015,Artisan of Kozilek,TRUE,"0,17","0,23"
Commander 2016,Ash Barrens,FALSE,"0,85","0,90"
Theros,Ashen Rider,FALSE,"0,32","0,86"
Theros,"Ashiok, Nightmare Weaver",FALSE,"3,39","4,31"
Lorwyn,Ashling the Pilgrim,FALSE,"1,06","0,18"
Antiquities,Ashnod's Altar,FALSE,"2,03","7,91"
Commander Anthology,Assault Suit,FALSE,"0,04","0,02"
Born of the Gods,Astral Cornucopia,TRUE,"1,36","0,32"
Onslaught,Astral Slide,TRUE,"1,72","0,45"
Mirrodin,Atog,FALSE,"0,04","0,05"
Magic 2013,Attended Knight,TRUE,"0,05","0,07"
Urza's Destiny,Attrition,FALSE,"2,80","1,62"
Urza's Saga,Attunement,FALSE,"0,08","0,27"
Magic 2013,Augur of Bolas,TRUE,"0,38","1,35"
Commander 2013,Augury Adept,FALSE,"0,08","0,17"
Shadowmoor,Augury Adept,FALSE,"0,17","0,22"
Weatherlight,Aura of Silence,FALSE,"0,42","0,40"
Invasion,Aura Shards,TRUE,"22,88","26,09"
Urza's Destiny,Aura Thief,FALSE,"0,55","0,90"
Odyssey,Auramancer,TRUE,"0,38","0,18"
Lorwyn,Austere Command,FALSE,"5,42","4,26"
Innistrad,Avacyn's Pilgrim,FALSE,"0,04","0,02"
Avacyn Restored,"Avacyn, Angel of Hope",FALSE,"16,52","14,40"
Urza's Legacy,Avalanche Riders,FALSE,"0,08","0,45"
Onslaught,Avarax,TRUE,"0,07","0,13"
Archenemy,Avatar of Discord,FALSE,"0,42","0,42"
Commander 2011,Avatar of Slaughter,FALSE,"0,64","0,90"
Archenemy,Avatar of Woe,FALSE,"1,10","0,81"
Planar Chaos,Aven Riftwatcher,TRUE,"0,08","0,16"
Worldwake,Avenger of Zendikar,FALSE,"3,39","3,15"
Unhinged,AWOL,TRUE,"0,89","0,02"
Champions of Kamigawa,"Azami, Lady of Scrolls",FALSE,"0,10","0,36"
Commander 2011,Azorius Chancery,FALSE,"0,06","0,08"
Modern Masters 2015,Azorius Chancery,TRUE,"0,17","0,18"
Modern Masters 2015,Azorius Chancery,TRUE,"0,17","0,18"
Commander 2013,Azorius Guildgate,FALSE,"0,05","0,02"
Dissension,Azorius Signet,FALSE,"0,25","0,09"
Champions of Kamigawa,"Azusa, Lost but Seeking",FALSE,"23,73","22,05"
Urza's Saga,Back to Basics,FALSE,"13,56","11,43"
Duel Decks: Garruk vs. Liliana,Bad Moon,FALSE,"0,25","0,26"
Fourth Edition,Bad Moon,FALSE,"0,32","0,45"
Mirage,Bad River,FALSE,"0,68","0,71"
Revised Edition,Balance,FALSE,"0,61","1,35"
Innistrad,Balefire Dragon,FALSE,"8,05","12,59"
Eventide,Balefire Liege,FALSE,"1,95","3,87"
Eternal Masters,Baleful Strix,FALSE,"0,64","1,71"
Magic 2010,Ball Lightning,TRUE,"3,26","2,25"
Magic 2010,Ball Lightning,FALSE,"1,19","0,89"
Shadowmoor,Ballynock Cohort,TRUE,"0,14","0,09"
Gatecrash,Balustrade Spy,TRUE,"0,21","0,23"
Legions,Bane of the Living,FALSE,"0,08","0,09"
Conflux,Banefire,FALSE,"0,25","0,31"
Magic 2010,Baneslayer Angel,FALSE,"4,24","4,05"
Magic 2011,Baneslayer Angel,FALSE,"3,98","3,14"
Shards of Alara,Bant Charm,FALSE,"0,21","0,09"
Commander 2013,Bant Panorama,FALSE,"0,20","0,04"
Odyssey,Barbarian Ring,FALSE,"0,17","0,22"
Onslaught,Barren Moor,FALSE,"0,04","0,02"
Onslaught,Barren Moor,TRUE,"5,59","4,95"
Legends,Bartel Runeaxe,FALSE,"11,02","28,35"
Future Sight,"Baru, Fist of Krosa",FALSE,"0,08","0,17"
Commander 2013,Basalt Monolith,FALSE,"0,51","0,36"
Revised Edition,Basalt Monolith,FALSE,"0,51","0,41"
Commander 2011,"Basandra, Battle Seraph",FALSE,"0,21","0,44"
Gatecrash,Basilica Guards,TRUE,"0,07","0,09"
Gatecrash,Basilica Screecher,TRUE,"0,08","0,08"
Modern Masters 2017,Basilisk Collar,FALSE,"2,12","2,61"
Worldwake,Basilisk Collar,FALSE,"3,22","2,70"
Torment,Basking Rootwalla,TRUE,"1,53","1,35"
Torment,Basking Rootwalla,TRUE,"1,53","1,35"
Judgment,Battle Screech,TRUE,"5,51","8,96"
Apocalypse,Battlefield Forge,FALSE,"0,68","0,90"
Shards of Alara,Battlegrace Angel,FALSE,"0,14","0,05"
Eventide,Batwing Brume,FALSE,"0,28","0,36"
Worldwake,Bazaar Trader,FALSE,"0,08","0,14"
Archenemy,Beacon of Unrest,FALSE,"0,59","1,32"
Urza's Legacy,Beast of Burden,TRUE,"1,53","3,38"
Urza's Legacy,Beast of Burden,FALSE,"0,08","0,14"
New Phyrexia,Beast Within,FALSE,"0,68","0,54"
Zendikar,Beastmaster Ascension,FALSE,"0,38","0,32"
Eventide,Beckon Apparition,TRUE,"0,07","0,18"
Khans of Tarkir,Become Immense,FALSE,"0,04","0,05"
Urza's Saga,Bedlam,FALSE,"0,25","0,18"
Eldritch Moon,Bedlam Reveler,FALSE,"0,16","0,43"
Planechase 2012,Beetleback Chief,FALSE,"0,07","0,18"
Eternal Masters,Beetleback Chief,FALSE,"0,05","0,02"
Eternal Masters,Beetleback Chief,TRUE,"0,64","0,08"
Dark Ascension,Beguiler of Wills,FALSE,"0,72","0,72"
Alara Reborn,Behemoth Sledge,FALSE,"0,08","0,05"
Battle for Zendikar,Benthic Infiltrator,TRUE,"0,07","0,04"
Theros,Bident of Thassa,FALSE,"0,18","0,09"
Planar Chaos,Big Game Hunter,FALSE,"1,19","0,54"
Gatecrash,Biomass Mutation,FALSE,"0,08","0,08"
Gatecrash,Bioshift,TRUE,"0,38","0,08"
Gatecrash,Biovisionary,FALSE,"0,08","0,05"
Onslaught,Birchlore Rangers,FALSE,"0,05","0,08"
Fourth Edition,Birds of Paradise,FALSE,"3,39","3,59"
Fifth Edition,Birds of Paradise,FALSE,"3,39","3,54"
Magic 2010,Birds of Paradise,FALSE,"3,14","2,70"
Magic 2011,Birds of Paradise,FALSE,"2,75","2,70"
Magic 2012,Birds of Paradise,FALSE,"2,75","2,88"
Magic 2012,Birds of Paradise,FALSE,"2,75","2,88"
New Phyrexia,Birthing Pod,TRUE,"12,71","17,10"
New Phyrexia,Birthing Pod,FALSE,"3,81","3,59"
Modern Masters 2015,Bitterblossom,FALSE,"18,64","17,10"
Morningtide,Bitterblossom,FALSE,"20,34","16,65"
Ninth Edition,Blackmail,FALSE,"1,44","0,77"
Zendikar,Blade of the Bloodchief,FALSE,"0,23","0,90"
Future Sight,Blade of the Sixth Pride,TRUE,"0,75","0,23"
Modern Masters 2017,Blade Splicer,FALSE,"0,38","0,44"
Commander 2011,Bladewing the Risen,FALSE,"0,64","0,44"
Innistrad,Blasphemous Act,FALSE,"1,48","1,01"
Innistrad,Blasphemous Act,TRUE,"5,08","7,20"
Nemesis,Blastoderm,TRUE,"1,19","2,24"
Ravnica: City of Guilds,Blazing Archon,FALSE,"0,51","0,40"
Invasion,Blazing Specter,FALSE,"0,08","0,23"
Urza's Legacy,Blessed Reversal,TRUE,"0,76","1,53"
Scars of Mirrodin,Blight Mamba,FALSE,"0,04","0,02"
New Phyrexia,Blighted Agent,FALSE,"0,05","0,33"
Shards of Alara,Blightning,TRUE,"0,17","0,60"
Shards of Alara,Blightning,FALSE,"0,14","0,14"
Mirrodin Besieged,Blightsteel Colossus,FALSE,"14,41","14,40"
Magic 2010,Blinding Mage,TRUE,"0,14","0,09"
Darksteel,Blinkmoth Nexus,FALSE,"1,95","3,15"
Avacyn Restored,Blood Artist,FALSE,"0,32","0,54"
Modern Masters 2017,Blood Moon,TRUE,"22,88","28,80"
Modern Masters 2017,Blood Moon,FALSE,"11,02","15,74"
Ninth Edition,Blood Moon,FALSE,"12,29","16,65"
Zendikar,Blood Seeker,TRUE,"0,11","0,14"
Magic 2011,Blood Tithe,TRUE,"0,07","0,09"
Zendikar,Blood Tribute,FALSE,"0,08","0,09"
Ravnica: City of Guilds,Bloodbond March,FALSE,"0,08","0,09"
Eternal Masters,Bloodbraid Elf,FALSE,"0,42","0,29"
Alara Reborn,Bloodbraid Elf,FALSE,"0,42","0,23"
Zendikar,Bloodchief Ascension,FALSE,"3,64","2,96"
Khans of Tarkir,Bloodfell Caves,TRUE,"0,08","0,09"
Zendikar,Bloodghast,FALSE,"6,78","9,86"
Innistrad,Bloodgift Demon,FALSE,"0,13","0,14"
Conflux,Bloodhall Ooze,FALSE,"0,14","0,18"
Magic 2012,Bloodlord of Vaasgoth,FALSE,"0,51","0,88"
Khans of Tarkir,Bloodsoaked Champion,FALSE,"0,14","0,02"
Khans of Tarkir,Bloodstained Mire,FALSE,"8,05","9,68"
Khans of Tarkir,Blossoming Sands,TRUE,"0,07","0,09"
Mirrodin Besieged,Blue Sun's Zenith,FALSE,"0,21","0,23"
Magic 2010,Bogardan Hellkite,FALSE,"0,21","0,41"
Shadowmoor,Boggart Ram-Gang,FALSE,"0,08","0,05"
Lorwyn,Boggart Shenanigans,FALSE,"0,06","0,04"
Tempest,Boil,FALSE,"0,06","0,27"
Commander 2011,Bojuka Bog,FALSE,"0,42","0,36"
Worldwake,Bojuka Bog,FALSE,"0,08","0,14"
Magic Origins,Bonded Construct,TRUE,"0,05","0,04"
Innistrad,Bonds of Faith,TRUE,"0,13","0,09"
Weatherlight,Bone Dancer,FALSE,"0,42","0,86"
Amonkhet,Bone Picker,FALSE,"0,04","0,02"
Urza's Legacy,Bone Shredder,TRUE,"4,66","8,10"
Avacyn Restored,Bone Splinters,TRUE,"0,08","0,14"
Mirrodin Besieged,Bonehoard,TRUE,"0,17","0,67"
Mirrodin,Bonesplitter,FALSE,"0,05","0,02"
Amonkhet,Bontu's Monument,TRUE,"0,14","0,18"
Legends,Boomerang,FALSE,"0,06","0,09"
Commander 2016,Boompile,FALSE,"0,08","0,27"
Conspiracy: Take the Crown,Borderland Explorer,TRUE,"0,17","0,09"
Magic 2015,Borderland Marauder,TRUE,"0,08","0,05"
Magic 2015,Borderland Marauder,TRUE,"0,08","0,05"
Coldsnap,Boreal Druid,FALSE,"0,21","0,02"
Gatecrash,Boros Charm,FALSE,"1,48","1,35"
Ravnica: City of Guilds,Boros Garrison,TRUE,"1,04","1,17"
Gatecrash,Boros Guildgate,TRUE,"0,08","0,22"
Modern Masters 2017,Boros Signet,FALSE,"0,04","0,02"
Ravnica: City of Guilds,Boros Signet,FALSE,"0,04","0,02"
Champions of Kamigawa,"Boseiju, Who Shelters All",FALSE,"7,20","6,72"
Theros,Bow of Nylea,FALSE,"0,68","0,45"
Commander 2011,Brainstorm,FALSE,"0,61","0,63"
Conspiracy,Brainstorm,FALSE,"0,25","0,27"
Mercadian Masques,Brainstorm,FALSE,"0,64","0,51"
Morningtide,Bramblewood Paragon,FALSE,"0,61","0,45"
Khans of Tarkir,Brave the Sands,FALSE,"0,04","0,02"
Torment,Breakthrough,FALSE,"0,05","0,08"
Invasion,Breath of Darigaaz,TRUE,"0,59","1,52"
Dissension,Breeding Pool,FALSE,"6,57","9,72"
Eighth Edition,Bribery,FALSE,"9,32","6,75"
Future Sight,Bridge from Below,FALSE,"3,98","3,42"
Portal: Three Kingdoms,Brilliant Plan,FALSE,"0,39","0,59"
Commander 2011,Brion Stoutarm,FALSE,"0,21","0,23"
Lorwyn,Brion Stoutarm,FALSE,"0,25","0,14"
Legions,Brood Sliver,FALSE,"1,27","0,63"
Judgment,Browbeat,TRUE,"0,76","1,75"
Avacyn Restored,"Bruna, Light of Alabaster",FALSE,"1,36","1,34"
Ice Age,Brushland,FALSE,"3,81","6,21"
Stronghold,Burgeoning,FALSE,"1,69","2,69"
Odyssey,Buried Alive,TRUE,"7,63","5,40"
Odyssey,Buried Alive,TRUE,"7,63","5,40"
Magic 2012,Buried Ruin,FALSE,"0,21","0,14"
Avacyn Restored,Burn at the Stake,FALSE,"0,21","0,09"
Magic 2010,Burning Inquiry,FALSE,"0,05","0,02"
Judgment,Burning Wish,FALSE,"1,44","1,35"
Modern Masters 2017,Burning-Tree Emissary,TRUE,"0,10","0,14"
Theros,Burnished Hart,FALSE,"0,13","0,02"
Lorwyn,Burrenton Forge-Tender,FALSE,"0,28","0,23"
Avacyn Restored,Butcher Ghoul,TRUE,"0,05","0,13"
Shadows over Innistrad,Bygone Bishop,TRUE,"0,17","0,36"
Torment,Cabal Coffers,TRUE,"22,88","42,75"
Torment,Cabal Ritual,FALSE,"0,17","0,41"
Judgment,Cabal Therapy,FALSE,"1,44","1,89"
Innistrad,Cackling Counterpart,FALSE,"0,08","0,08"
Champions of Kamigawa,Cage of Hands,TRUE,"0,45","0,09"
New Phyrexia,Caged Sun,FALSE,"4,83","3,96"
Lorwyn,Cairn Wanderer,FALSE,"0,97","0,43"
Worldwake,Calcite Snapper,TRUE,"0,08","0,09"
Shards of Alara,Caldera Hellion,FALSE,"0,08","0,02"
Odyssey,Call of the Herd,FALSE,"0,16","0,14"
Magic 2011,Call to Mind,TRUE,"0,38","0,27"
Magic 2012,Call to the Grave,FALSE,"0,16","0,31"
Magic 2012,Call to the Grave,TRUE,"0,38","1,35"
Magic 2012,Call to the Grave,FALSE,"0,16","0,31"
Dark Ascension,Call to the Kindred,FALSE,"0,08","0,14"
Tenth Edition,Cancel,FALSE,"0,05","0,00"
Tenth Edition,Cancel,FALSE,"0,05","0,00"
Tenth Edition,Cancel,FALSE,"0,05","0,00"
Magic 2010,Captain of the Watch,TRUE,"1,19","1,13"
Magic 2010,Captain of the Watch,FALSE,"0,10","0,36"
Invasion,Captain Sisay,TRUE,"46,61","76,50"
Magic 2013,Captain's Call,TRUE,"0,08","0,14"
Oath of the Gatewatch,Captain's Claws,FALSE,"0,08","0,05"
Magic 2011,Captivating Vampire,FALSE,"0,93","2,24"
Innistrad,Caravan Vigil,TRUE,"0,08","0,02"
Odyssey,Careful Study,FALSE,"0,16","0,09"
Unhinged,Carnivorous Death-Parrot,TRUE,"1,91","1,53"
Urza's Saga,Carpet of Flowers,FALSE,"2,97","3,11"
Amonkhet,Cartouche of Strength,TRUE,"0,07","0,09"
Amonkhet,Cascading Cataracts,FALSE,"0,08","0,08"
Mirage,Catacomb Dragon,FALSE,"0,68","0,44"
Duel Decks: Elspeth vs. Tezzeret,Catapult Master,FALSE,"0,14","0,09"
Urza's Saga,Catastrophe,FALSE,"1,95","1,80"
Avacyn Restored,Cathars' Crusade,FALSE,"1,19","0,56"
Magic 2013,Cathedral of War,FALSE,"0,61","0,36"
Mirrodin,Cathodion,TRUE,"0,17","0,13"
Commander 2016,Cauldron of Souls,FALSE,"0,97","0,71"
Mercadian Masques,Cave-In,TRUE,"1,69","5,85"
Planeshift,Cavern Harpy,TRUE,"11,86","20,25"
Avacyn Restored,Cavern of Souls,FALSE,"30,51","36,00"
Apocalypse,Caves of Koilos,FALSE,"0,42","0,89"
Apocalypse,Caves of Koilos,TRUE,"9,75","11,65"
Magic 2015,Caves of Koilos,FALSE,"0,25","0,41"
Mirage,Celestial Dawn,FALSE,"0,13","0,22"
Zendikar,Celestial Mantle,FALSE,"1,69","0,86"
Conflux,Celestial Purge,FALSE,"0,05","0,02"
Conflux,Celestial Purge,FALSE,"0,05","0,02"
Conflux,Celestial Purge,FALSE,"0,05","0,02"
Archenemy,Cemetery Reaper,FALSE,"1,53","1,76"
Magic 2010,Cemetery Reaper,TRUE,"4,24","3,14"
Magic 2010,Cemetery Reaper,FALSE,"0,55","1,67"
Magic 2012,Cemetery Reaper,FALSE,"0,85","1,34"
Eventide,Cenn's Enlistment,TRUE,"0,07","0,09"
Amonkhet,Censor,FALSE,"0,85","0,14"
Return to Ravnica,Centaur Healer,TRUE,"0,07","0,02"
Return to Ravnica,Centaur Healer,TRUE,"0,07","0,02"
Odyssey,Cephalid Coliseum,FALSE,"0,51","0,59"
Tenth Edition,Cephalid Constable,FALSE,"0,13","0,18"
Torment,Cephalid Sage,TRUE,"0,14","0,32"
Kaladesh,Ceremonious Rejection,FALSE,"0,07","0,02"
Legends,Chain Lightning,FALSE,"3,22","6,30"
Onslaught,Chain of Plasma,TRUE,"0,07","0,30"
Onslaught,Chain of Vapor,FALSE,"0,21","0,13"
Torment,Chainer's Edict,TRUE,"4,07","6,26"
Torment,Chainer's Edict,FALSE,"2,12","2,43"
Morningtide,Chameleon Colossus,FALSE,"1,19","0,41"
Commander 2016,Champion of Lambholt,FALSE,"0,85","0,45"
Avacyn Restored,Champion of Lambholt,FALSE,"0,68","0,45"
Amonkhet,Champion of Rhonas,FALSE,"0,08","0,05"
Commander 2011,Champion's Helm,FALSE,"7,63","6,26"
New Phyrexia,Chancellor of the Annex,FALSE,"0,85","4,32"
New Phyrexia,Chancellor of the Dross,FALSE,"0,08","0,09"
New Phyrexia,Chancellor of the Forge,FALSE,"0,28","0,18"
New Phyrexia,Chancellor of the Tangle,FALSE,"0,08","0,14"
Lorwyn,Chandra Nalaar,FALSE,"1,48","0,90"
Magic 2011,Chandra Nalaar,FALSE,"1,36","1,35"
Magic 2013,"Chandra, the Firebrand",FALSE,"0,42","1,79"
Commander 2011,Chaos Warp,FALSE,"0,64","0,68"
Mirage,Charcoal Diamond,FALSE,"0,04","0,09"
Odyssey,Chatter of the Squirrel,TRUE,"0,38","0,32"
Magic 2015,Chief Engineer,TRUE,"0,51","0,77"
Conflux,Child of Alara,FALSE,"1,69","1,08"
Urza's Saga,Child of Gaea,FALSE,"0,08","0,26"
Time Spiral,Children of Korlis,FALSE,"0,04","0,02"
Tempest,Chill,FALSE,"0,05","0,07"
Darksteel,Chittering Rats,FALSE,"0,04","0,02"
Tempest,Choke,FALSE,"0,68","1,71"
Ravnica: City of Guilds,Chord of Calling,FALSE,"6,57","8,10"
Mirrodin,Chrome Mox,FALSE,"10,17","7,20"
Legions,Chromeshell Crab,FALSE,"0,08","0,05"
Planar Chaos,Chronozoa,FALSE,"0,81","0,23"
Oath of the Gatewatch,Cinder Barrens,TRUE,"0,07","0,05"
Battle for Zendikar,Cinder Glade,FALSE,"1,19","0,86"
Antiquities,Citanul Druid,FALSE,"1,27","7,65"
Chronicles,City of Brass,FALSE,"2,12","2,61"
Fifth Edition,City of Brass,FALSE,"2,75","1,80"
Classic Sixth Edition,City of Brass,FALSE,"3,39","2,25"
Visions,City of Solitude,FALSE,"2,80","2,69"
Exodus,City of Traitors,FALSE,"76,27","75,59"
Innistrad,Claustrophobia,TRUE,"0,05","0,09"
Khans of Tarkir,Clever Impersonator,TRUE,"5,93","6,75"
Khans of Tarkir,Clever Impersonator,FALSE,"2,33","1,35"
Innistrad,Clifftop Retreat,FALSE,"3,81","3,15"
Fifth Dawn,Clock of Omens,TRUE,"1,91","1,70"
Planeshift,Cloud Cover,TRUE,"5,08","7,19"
Tenth Edition,Cloud Elemental,TRUE,"0,05","0,09"
Urza's Legacy,Cloud of Faeries,FALSE,"0,07","0,18"
Urza's Legacy,Cloud of Faeries,TRUE,"5,51","6,26"
Gatecrash,Cloudfin Raptor,TRUE,"0,17","0,45"
Mirrodin,Cloudpost,TRUE,"1,53","1,80"
Mirrodin,Cloudpost,FALSE,"0,04","0,14"
Avacyn Restored,Cloudshift,TRUE,"1,36","1,94"
Avacyn Restored,Cloudshift,FALSE,"0,04","0,02"
Ravnica: City of Guilds,Cloudstone Curio,FALSE,"5,08","3,59"
Alara Reborn,Cloven Casting,FALSE,"0,08","0,05"
Apocalypse,Coalition Honor Guard,TRUE,"0,14","0,14"
Magic 2010,Coat of Arms,FALSE,"4,24","2,34"
Conspiracy,Coercive Portal,FALSE,"1,69","2,65"
Conspiracy,Cogwork Librarian,TRUE,"0,38","0,09"
Dissension,Coiling Oracle,TRUE,"0,51","1,76"
Commander 2011,Collective Voyage,FALSE,"0,97","1,04"
