set;name;foil;ck;mkm;available;profit;profitpct
Battle Royale Box Set;Curfew;FALSE;0,41;0,89;1;0,48;1,170731707
Legends;Mountain Stronghold;FALSE;0,58;1,25;5;0,67;1,155172414
Dragon's Maze;Far // Away;TRUE;0,41;0,88;13;0,47;1,146341463
Rise of the Eldrazi;Prophetic Prism;TRUE;1,26;2,7;1;1,44;1,142857143
Planeshift;Horned Kavu;TRUE;0,84;1,8;1;0,96;1,142857143
Seventh Edition;Elvish Lyrist;TRUE;0,84;1,8;8;0,96;1,142857143
Shards of Alara;Plains;TRUE;0,84;1,8;3;0,96;1,142857143
Shards of Alara;Plains;TRUE;0,84;1,8;3;0,96;1,142857143
Shards of Alara;Plains;TRUE;0,84;1,8;3;0,96;1,142857143
Shards of Alara;Plains;TRUE;0,84;1,8;3;0,96;1,142857143
Battle Royale Box Set;Disenchant;FALSE;0,21;0,45;5;0,24;1,142857143
Battle Royale Box Set;Tranquility;FALSE;0,21;0,45;16;0,24;1,142857143
Starter 1999;Hulking Ogre;FALSE;0,21;0,45;9;0,24;1,142857143
Starter 1999;Wind Sail;FALSE;0,21;0,45;8;0,24;1,142857143
Battle Royale Box Set;Control Magic;FALSE;0,5;1,07;1;0,57;1,14
Avacyn Restored;Swamp;TRUE;0,84;1,79;5;0,95;1,130952381
Avacyn Restored;Swamp;TRUE;0,84;1,79;5;0,95;1,130952381
Avacyn Restored;Swamp;TRUE;0,84;1,79;5;0,95;1,130952381
Mercadian Masques;Rishadan Cutpurse;TRUE;8,46;17,98;3;9,52;1,125295508
Unlimited Edition;Flashfires;FALSE;0,38;0,8;2;0,42;1,105263158
Seventh Edition;Fighting Drake;TRUE;0,84;1,76;2;0,92;1,095238095
The Dark;Holy Light;FALSE;0,21;0,44;20;0,23;1,095238095
Planechase 2012;Stensia;FALSE;0,33;0,68;20;0,35;1,060606061
Urza's Legacy;Simian Grunts;TRUE;0,33;0,68;3;0,35;1,060606061
Scourge;Force Bubble;TRUE;3,8;7,82;1;4,02;1,057894737
Magic Origins;Vryn Wingmare;TRUE;0,84;1,71;4;0,87;1,035714286
Commander 2016;Thopter Foundry;FALSE;0,3;0,61;7;0,31;1,033333333
Planechase;Immersturm;FALSE;0,67;1,35;16;0,68;1,014925373
Seventh Edition;Ostracize;TRUE;0,67;1,35;7;0,68;1,014925373
Invasion;Manipulate Fate;FALSE;0,58;1,16;19;0,58;1
Seventh Edition;Serpent Warrior;TRUE;0,3;0,59;1;0,29;0,966666667
The Dark;Dance of Many;FALSE;0,67;1,31;2;0,64;0,955223881
Battle Royale Box Set;Wind Drake;FALSE;0,21;0,41;11;0,2;0,952380952
Oath of the Gatewatch;Wastes;FALSE;0,21;0,41;20;0,2;0,952380952
Oath of the Gatewatch;Wastes;FALSE;0,21;0,41;20;0,2;0,952380952
Oath of the Gatewatch;Wastes;FALSE;0,21;0,41;20;0,2;0,952380952
Oath of the Gatewatch;Wastes;FALSE;0,21;0,41;20;0,2;0,952380952
Unlimited Edition;Blue Ward;FALSE;0,21;0,41;1;0,2;0,952380952
Unlimited Edition;Glasses of Urza;FALSE;0,41;0,8;3;0,39;0,951219512
Legends;Blight;FALSE;2,53;4,93;12;2,4;0,948616601
Return to Ravnica;Slaughter Games;TRUE;1,26;2,42;7;1,16;0,920634921
Ugin's Fate;Mastery of the Unseen;FALSE;2,11;4,01;5;1,9;0,900473934
Invasion;Molimo, Maro-Sorcerer;TRUE;3,8;7,2;3;3,4;0,894736842
Ugin's Fate;Jeskai Infiltrator;FALSE;1,52;2,88;13;1,36;0,894736842
Battle Royale Box Set;Mountain;FALSE;0,84;1,58;18;0,74;0,880952381
Battle Royale Box Set;Mountain;FALSE;0,84;1,58;18;0,74;0,880952381
Battle Royale Box Set;Mountain;FALSE;0,84;1,58;18;0,74;0,880952381
Battle Royale Box Set;Mountain;FALSE;0,84;1,58;18;0,74;0,880952381
Battle Royale Box Set;Mountain;FALSE;0,84;1,58;18;0,74;0,880952381
Battle Royale Box Set;Mountain;FALSE;0,84;1,58;18;0,74;0,880952381
Battle Royale Box Set;Mountain;FALSE;0,84;1,58;18;0,74;0,880952381
Battle Royale Box Set;Mountain;FALSE;0,84;1,58;18;0,74;0,880952381
Battle Royale Box Set;Mountain;FALSE;0,84;1,58;18;0,74;0,880952381
Seventh Edition;Swamp;TRUE;0,84;1,58;1;0,74;0,880952381
Seventh Edition;Swamp;TRUE;0,84;1,58;1;0,74;0,880952381
Seventh Edition;Swamp;TRUE;0,84;1,58;1;0,74;0,880952381
Seventh Edition;Swamp;TRUE;0,84;1,58;1;0,74;0,880952381
Starter 1999;Sylvan Basilisk;FALSE;0,84;1,58;2;0,74;0,880952381
Seventh Edition;Treasure Trove;TRUE;1,68;3,15;1;1,47;0,875
Ugin's Fate;Jeering Instigator;FALSE;1,09;2,03;15;0,94;0,862385321
Starter 1999;Cinder Storm;FALSE;0,84;1,53;10;0,69;0,821428571
Archenemy;Behold the Power of Destruction;FALSE;11;20,03;4;9,03;0,820909091
Magic 2015;Reclamation Sage;TRUE;14,38;26,09;1;11,71;0,814325452
Amonkhet;Forsaken Sanctuary;FALSE;0,21;0,38;20;0,17;0,80952381
Seventh Edition;Fallen Angel;TRUE;42,32;76,5;4;34,18;0,807655955
Anthologies;Cuombajj Witches;FALSE;0,5;0,9;7;0,4;0,8
Planechase;Eloren Wilds;FALSE;0,5;0,9;20;0,4;0,8
Planechase;Feeding Grounds;FALSE;0,5;0,9;20;0,4;0,8
Battle Royale Box Set;Mogg Hollows;FALSE;0,25;0,45;1;0,2;0,8
Commander 2017;Magus of the Mind;FALSE;0,25;0,45;8;0,2;0,8
Unlimited Edition;Wanderlust;FALSE;0,25;0,45;1;0,2;0,8
Unlimited Edition;Orcish Oriflamme;FALSE;0,33;0,59;3;0,26;0,787878788
Mercadian Masques;Rishadan Airship;TRUE;1,26;2,25;2;0,99;0,785714286
Legends;Sylvan Paradise;FALSE;0,5;0,89;9;0,39;0,78
Battle for Zendikar;Painful Truths;TRUE;1,26;2,24;7;0,98;0,777777778
Mercadian Masques;Cho-Arrim Bruiser;TRUE;1,26;2,24;1;0,98;0,777777778
Seventh Edition;Crypt Rats;TRUE;25,39;44,99;6;19,6;0,771957464
Starter 1999;Stream of Acid;FALSE;1,94;3,38;5;1,44;0,742268041
Unlimited Edition;Demonic Attorney;FALSE;2,53;4,4;1;1,87;0,739130435
Planechase 2012;Akoum;FALSE;0,3;0,52;20;0,22;0,733333333
Mercadian Masques;War Tax;TRUE;5,07;8,78;1;3,71;0,731755424
Mercadian Masques;Two-Headed Dragon;FALSE;0,5;0,86;3;0,36;0,72
Magic 2013;Intrepid Hero;TRUE;0,84;1,44;1;0,6;0,714285714
Mercadian Masques;Last Breath;TRUE;0,84;1,44;2;0,6;0,714285714
Anthologies;Terror;FALSE;0,21;0,36;8;0,15;0,714285714
Battle Royale Box Set;Blinking Spirit;FALSE;0,21;0,36;1;0,15;0,714285714
Battle Royale Box Set;Thalakos Lowlands;FALSE;0,21;0,36;1;0,15;0,714285714
Portal: Second Age;Dakmor Plague;FALSE;0,21;0,36;2;0,15;0,714285714
Starter 1999;Ardent Militia;FALSE;0,21;0,36;13;0,15;0,714285714
Starter 1999;Howling Fury;FALSE;0,21;0,36;14;0,15;0,714285714
Starter 1999;Spitting Earth;FALSE;0,21;0,36;6;0,15;0,714285714
Starter 1999;Undo;FALSE;0,21;0,36;18;0,15;0,714285714
Starter 1999;Untamed Wilds;FALSE;0,21;0,36;20;0,15;0,714285714
Starter 1999;Water Elemental;FALSE;0,21;0,36;4;0,15;0,714285714
The Dark;Tivadar's Crusade;FALSE;0,21;0,36;20;0,15;0,714285714
Magic 2012;Acidic Slime;TRUE;0,67;1,14;3;0,47;0,701492537
Invasion;Twilight's Call;TRUE;8,46;14,39;5;5,93;0,700945626
Portal: Second Age;Bargain;FALSE;0,33;0,56;5;0,23;0,696969697
Fifth Dawn;Clock of Omens;TRUE;4,22;7,11;1;2,89;0,684834123
Eighth Edition;Zombify;TRUE;0,41;0,69;8;0,28;0,682926829
Ninth Edition;Elvish Bard;TRUE;0,41;0,69;2;0,28;0,682926829
Apocalypse;Spiritmonger;FALSE;0,3;0,5;5;0,2;0,666666667
Mercadian Masques;Toymaker;TRUE;0,3;0,5;6;0,2;0,666666667
Starter 1999;Dakmor Plague;FALSE;0,21;0,35;10;0,14;0,666666667
The Dark;Necropolis;FALSE;0,21;0,35;17;0,14;0,666666667
Duel Decks: Zendikar vs. Eldrazi;Stirring Wildwood;FALSE;0,41;0,68;8;0,27;0,658536585
Magic 2015;Sunblade Elf;TRUE;0,41;0,68;15;0,27;0,658536585
Portal;Nature's Ruin;FALSE;0,41;0,68;6;0,27;0,658536585
Unhinged;Vile Bile;TRUE;0,41;0,68;7;0,27;0,658536585
Zendikar;Pyromancer Ascension;FALSE;0,41;0,68;8;0,27;0,658536585
Invasion;Crypt Angel;TRUE;12,69;20,93;2;8,24;0,649330181
Battle Royale Box Set;Terror;FALSE;0,25;0,41;3;0,16;0,64
Battle Royale Box Set;Vec Townships;FALSE;0,25;0,41;4;0,16;0,64
Planechase 2012;Nephalia;FALSE;0,25;0,41;20;0,16;0,64
Unlimited Edition;Bog Wraith;FALSE;0,33;0,54;5;0,21;0,636363636
Unlimited Edition;Earth Elemental;FALSE;0,33;0,54;1;0,21;0,636363636
Urza's Legacy;Darkwatch Elves;TRUE;0,33;0,54;7;0,21;0,636363636
Ninth Edition;Verduran Enchantress;TRUE;11;17,99;2;6,99;0,635454545
Planechase 2012;Lair of the Ashen Idol;FALSE;0,5;0,81;18;0,31;0,62
Magic 2011;Sylvan Ranger;TRUE;0,67;1,08;4;0,41;0,611940299
Odyssey;Syncopate;TRUE;0,67;1,08;1;0,41;0,611940299
Ninth Edition;Booby Trap;TRUE;1,68;2,7;8;1,02;0,607142857
Mercadian Masques;Security Detail;TRUE;0,84;1,35;2;0,51;0,607142857
Mercadian Masques;Unnatural Hunger;TRUE;0,84;1,35;2;0,51;0,607142857
Planechase;Lethe Lake;FALSE;0,84;1,35;18;0,51;0,607142857
Planechase;The Dark Barony;FALSE;0,84;1,35;20;0,51;0,607142857
Prophecy;Shrouded Serpent;TRUE;0,84;1,35;2;0,51;0,607142857
Unlimited Edition;Goblin Balloon Brigade;FALSE;0,84;1,35;1;0,51;0,607142857
Dark Ascension;Haunted Fengraf;TRUE;1,68;2,69;6;1,01;0,601190476
Mercadian Masques;Saprazzan Bailiff;TRUE;0,84;1,34;3;0,5;0,595238095
Planechase;Grixis;FALSE;0,84;1,34;20;0,5;0,595238095
Planechase;The Fourth Sphere;FALSE;0,84;1,34;20;0,5;0,595238095
Planechase;The Great Forest;FALSE;0,84;1,34;17;0,5;0,595238095
Portal: Second Age;Sylvan Yeti;FALSE;0,84;1,34;5;0,5;0,595238095
Seventh Edition;Beast of Burden;TRUE;3,38;5,39;7;2,01;0,594674556
Legends;Bartel Runeaxe;FALSE;16,92;26,96;3;10,04;0,593380615
Return to Ravnica;Rakdos's Return;TRUE;1,68;2,65;8;0,97;0,577380952
Portal;Blinding Light;FALSE;0,3;0,47;8;0,17;0,566666667
Invasion;Sunscape Master;TRUE;0,84;1,31;1;0,47;0,55952381
Mercadian Masques;Brawl;TRUE;0,84;1,31;1;0,47;0,55952381
Seventh Edition;Stream of Life;TRUE;0,84;1,31;5;0,47;0,55952381
Planechase;Raven's Run;FALSE;0,67;1,04;20;0,37;0,552238806
Unlimited Edition;Lance;FALSE;0,29;0,45;1;0,16;0,551724138
Dragon's Maze;Beck // Call;TRUE;1,68;2,59;8;0,91;0,541666667
Planeshift;Arctic Merfolk;TRUE;3,8;5,85;2;2,05;0,539473684
Mercadian Masques;Tonic Peddler;TRUE;0,41;0,63;5;0,22;0,536585366
Unhinged;Fascist Art Director;TRUE;0,41;0,63;3;0,22;0,536585366
Magic 2014;Witchstalker;TRUE;0,84;1,29;7;0,45;0,535714286
Arabian Nights;Giant Tortoise;FALSE;0,58;0,89;1;0,31;0,534482759
Arabian Nights;Giant Tortoise;FALSE;0,58;0,89;1;0,31;0,534482759
Battle Royale Box Set;Soul Warden;FALSE;0,58;0,89;1;0,31;0,534482759
Urza's Legacy;Engineered Plague;TRUE;3,38;5,18;1;1,8;0,532544379
The Dark;Cleansing;FALSE;6,34;9,71;7;3,37;0,531545741
Amonkhet;Tranquil Expanse;FALSE;0,21;0,32;20;0,11;0,523809524
Battle Royale Box Set;Soltari Foot Soldier;FALSE;0,21;0,32;1;0,11;0,523809524
Ninth Edition;Sacred Ground;TRUE;2,95;4,49;8;1,54;0,522033898
Seventh Edition;Phyrexian Colossus;TRUE;5,92;8,99;5;3,07;0,518581081
Legends;Deadfall;FALSE;0,41;0,62;10;0,21;0,512195122
Unlimited Edition;Animate Artifact;FALSE;0,41;0,62;3;0,21;0,512195122
Seventh Edition;Master Healer;TRUE;2,95;4,46;8;1,51;0,511864407
Tenth Edition;Hurkyl's Recall;TRUE;50,79;76,5;3;25,71;0,506202008
Conspiracy;Ill-Gotten Gains;TRUE;0,84;1,26;8;0,42;0,5
Fallen Empires;Hymn to Tourach;FALSE;0,3;0,45;1;0,15;0,5
Fallen Empires;Hymn to Tourach;FALSE;0,3;0,45;1;0,15;0,5
Fallen Empires;Hymn to Tourach;FALSE;0,3;0,45;1;0,15;0,5
Fallen Empires;Hymn to Tourach;FALSE;0,3;0,45;1;0,15;0,5
Judgment;Chastise;TRUE;0,3;0,45;4;0,15;0,5
Mercadian Masques;Cackling Witch;TRUE;0,3;0,45;5;0,15;0,5
Mercadian Masques;Magistrate's Veto;TRUE;0,3;0,45;7;0,15;0,5
Portal;Dread Reaper;FALSE;0,3;0,45;1;0,15;0,5
Portal;Primeval Force;FALSE;0,3;0,45;4;0,15;0,5
Legions;Imperial Hellkite;TRUE;2,11;3,15;4;1,04;0,492890995
Ugin's Fate;Wildcall;FALSE;2,11;3,15;6;1,04;0,492890995
Unlimited Edition;Copper Tablet;FALSE;16,92;25,2;1;8,28;0,489361702
Legends;Master of the Hunt;FALSE;16,92;25,19;5;8,27;0,488770686
Urza's Legacy;Delusions of Mediocrity;TRUE;2,11;3,14;2;1,03;0,488151659
Odyssey;Pardic Miner;TRUE;0,84;1,25;1;0,41;0,488095238
Legends;Crevasse;FALSE;0,41;0,61;12;0,2;0,487804878
Eternal Masters;Balance;TRUE;4,22;6,26;8;2,04;0,483412322
Legends;Wall of Putrid Flesh;FALSE;0,58;0,86;11;0,28;0,482758621
Planechase 2012;Reality Shaping;FALSE;0,58;0,86;20;0,28;0,482758621
Unlimited Edition;Purelace;FALSE;1,52;2,25;1;0,73;0,480263158
Modern Masters;Trygon Predator;TRUE;0,67;0,99;15;0,32;0,47761194
Mirrodin Besieged;Sangromancer;TRUE;1,68;2,48;2;0,8;0,476190476
Unlimited Edition;Deathlace;FALSE;1,68;2,48;1;0,8;0,476190476
Legends;Gosta Dirk;FALSE;8,46;12,47;2;4,01;0,473995272
Seventh Edition;Pariah;TRUE;11;16,19;2;5,19;0,471818182
Dragon's Maze;Turn // Burn;TRUE;0,3;0,44;7;0,14;0,466666667
Mercadian Masques;Bog Witch;TRUE;0,3;0,44;1;0,14;0,466666667
Seventh Edition;Crimson Hellkite;FALSE;0,3;0,44;8;0,14;0,466666667
Seventh Edition;Boomerang;TRUE;6,76;9,88;2;3,12;0,461538462
Tenth Edition;Shivan Dragon;TRUE;2,95;4,28;4;1,33;0,450847458
Legends;Divine Intervention;FALSE;46,55;67,49;2;20,94;0,449838883
The Dark;Hidden Path;FALSE;1,09;1,58;2;0,49;0,449541284
Legends;Floral Spuzzem;FALSE;0,58;0,84;3;0,26;0,448275862
Planechase 2012;Spatial Merging;FALSE;0,58;0,84;20;0,26;0,448275862
Legends;Demonic Torment;FALSE;0,5;0,72;1;0,22;0,44
Revised Edition;Control Magic;FALSE;0,25;0,36;2;0,11;0,44
Alara Reborn;Thopter Foundry;FALSE;0,3;0,43;18;0,13;0,433333333
Commander 2017;Stirring Wildwood;FALSE;0,3;0,43;8;0,13;0,433333333
Urza's Destiny;Metathran Elite;TRUE;0,3;0,43;2;0,13;0,433333333
Apocalypse;Yavimaya's Embrace;TRUE;1,26;1,8;2;0,54;0,428571429
Oath of the Gatewatch;Pulse of Murasa;TRUE;1,26;1,8;11;0,54;0,428571429
Mercadian Masques;Common Cause;TRUE;1,26;1,79;2;0,53;0,420634921
Odyssey;Cantivore;TRUE;1,26;1,79;2;0,53;0,420634921
Khans of Tarkir;Anafenza, the Foremost;TRUE;5,07;7,2;8;2,13;0,420118343
Mercadian Masques;Crumbling Sanctuary;TRUE;2,53;3,59;1;1,06;0,418972332
Invasion;Verdeloth the Ancient;TRUE;3,8;5,39;4;1,59;0,418421053
Magic 2013;Archaeomancer;TRUE;3,8;5,39;5;1,59;0,418421053
New Phyrexia;Despise;TRUE;0,67;0,95;10;0,28;0,417910448
Seventh Edition;Glacial Wall;TRUE;1,26;1,78;1;0,52;0,412698413
Shadowmoor;Mistmeadow Witch;TRUE;2,11;2,97;6;0,86;0,407582938
Unhinged;Enter the Dungeon;TRUE;9,3;13,05;2;3,75;0,403225806
Gatecrash;Urban Evolution;TRUE;1,26;1,76;12;0,5;0,396825397
Revised Edition;Royal Assassin;FALSE;1,94;2,7;1;0,76;0,391752577
Mercadian Masques;Cave-In;TRUE;4,22;5,85;2;1,63;0,386255924
Journey into Nyx;Prophetic Flamespeaker;TRUE;2,95;4,05;8;1,1;0,372881356
Battle Royale Box Set;Counterspell;FALSE;1,68;2,3;7;0,62;0,369047619
Saviors of Kamigawa;Choice of Damnations;TRUE;5,92;8,1;8;2,18;0,368243243
Dissension;Hit // Run;TRUE;0,3;0,41;9;0,11;0,366666667
Dragons of Tarkir;Foul-Tongue Invocation;TRUE;0,3;0,41;5;0,11;0,366666667
Magic 2014;Encroaching Wastes;TRUE;0,3;0,41;12;0,11;0,366666667
Magic Origins;Harbinger of the Tides;FALSE;0,3;0,41;8;0,11;0,366666667
Mercadian Masques;Crash;TRUE;0,3;0,41;9;0,11;0,366666667
Planechase 2012;Windriddle Palaces;FALSE;0,3;0,41;20;0,11;0,366666667
Prophecy;Rhystic Lightning;TRUE;0,3;0,41;2;0,11;0,366666667
Unlimited Edition;Conversion;FALSE;0,3;0,41;1;0,11;0,366666667
Urza's Legacy;Goblin Medics;TRUE;0,3;0,41;1;0,11;0,366666667
Limited Edition Beta;Mountain;FALSE;5,92;8,08;2;2,16;0,364864865
Limited Edition Beta;Mountain;FALSE;5,92;8,08;2;2,16;0,364864865
Limited Edition Beta;Mountain;FALSE;5,92;8,08;2;2,16;0,364864865
Battle Royale Box Set;Dirtcowl Wurm;FALSE;0,33;0,45;3;0,12;0,363636364
Innistrad;Brimstone Volley;TRUE;0,33;0,45;1;0,12;0,363636364
Legends;Dream Coat;FALSE;0,33;0,45;3;0,12;0,363636364
Legends;Kry Shield;FALSE;0,33;0,45;4;0,12;0,363636364
Unlimited Edition;Phantasmal Forces;FALSE;0,33;0,45;1;0,12;0,363636364
Seventh Edition;Might of Oaks;TRUE;3,8;5,18;2;1,38;0,363157895
Planechase 2012;Jund;FALSE;0,5;0,68;18;0,18;0,36
Planechase 2012;Norn's Dominion;FALSE;0,5;0,68;6;0,18;0,36
Planechase 2012;Prahv;FALSE;0,5;0,68;20;0,18;0,36
Gatecrash;Burning-Tree Emissary;TRUE;2,53;3,42;1;0,89;0,351778656
New Phyrexia;Entomber Exarch;TRUE;0,84;1,13;4;0,29;0,345238095
Planechase;Stronghold Furnace;FALSE;0,84;1,13;20;0,29;0,345238095
Planechase;Velis Vel;FALSE;0,84;1,13;18;0,29;0,345238095
Prophecy;Rebel Informer;TRUE;0,84;1,13;2;0,29;0,345238095
Seventh Edition;Patagia Golem;TRUE;0,84;1,13;1;0,29;0,345238095
Seventh Edition;Wooden Sphere;TRUE;0,84;1,13;3;0,29;0,345238095
Shadows over Innistrad;Invasive Surgery;TRUE;0,84;1,13;3;0,29;0,345238095
Arabian Nights;Bird Maiden;FALSE;0,67;0,9;10;0,23;0,343283582
Arabian Nights;Bird Maiden;FALSE;0,67;0,9;10;0,23;0,343283582
Avacyn Restored;Island;TRUE;0,67;0,9;3;0,23;0,343283582
Avacyn Restored;Island;TRUE;0,67;0,9;3;0,23;0,343283582
Avacyn Restored;Island;TRUE;0,67;0,9;3;0,23;0,343283582
Legends;Force Spike;FALSE;0,67;0,9;16;0,23;0,343283582
Planechase;Sokenzan;FALSE;0,67;0,9;20;0,23;0,343283582
The Dark;Inferno;FALSE;0,67;0,9;1;0,23;0,343283582
Seventh Edition;Pride of Lions;TRUE;1,26;1,69;1;0,43;0,341269841
Commander 2017;Qasali Pridemage;FALSE;0,5;0,67;20;0,17;0,34
Planechase 2012;Talon Gates;FALSE;0,5;0,67;20;0,17;0,34
Eternal Masters;Malicious Affliction;TRUE;1,68;2,25;8;0,57;0,339285714
Urza's Legacy;Scrapheap;TRUE;1,68;2,25;1;0,57;0,339285714
Mercadian Masques;Mercadian Lift;TRUE;1,68;2,24;6;0,56;0,333333333
Mercadian Masques;Spiritual Focus;TRUE;1,68;2,24;2;0,56;0,333333333
Mercadian Masques;Worry Beads;TRUE;1,68;2,24;3;0,56;0,333333333
Seventh Edition;Serra's Embrace;TRUE;1,68;2,24;5;0,56;0,333333333
Commander 2017;Fleecemane Lion;FALSE;0,3;0,4;8;0,1;0,333333333
Mercadian Masques;Sustenance;TRUE;0,3;0,4;5;0,1;0,333333333
Odyssey;Beast Attack;TRUE;0,3;0,4;3;0,1;0,333333333
Torment;Centaur Chieftain;TRUE;0,3;0,4;9;0,1;0,333333333
Apocalypse;Savage Gorilla;TRUE;0,33;0,44;1;0,11;0,333333333
Ninth Edition;Enrage;TRUE;0,33;0,44;9;0,11;0,333333333
Ninth Edition;Rootbreaker Wurm;TRUE;0,33;0,44;9;0,11;0,333333333
Ninth Edition;Sanctum Guardian;TRUE;0,33;0,44;5;0,11;0,333333333
Return to Ravnica;Niv-Mizzet, Dracogenius;TRUE;2,53;3,37;4;0,84;0,33201581
